5,Muriqui,314,13,10.13,4.88,1.79
4,Barreto,263,2,2.59,2.4,3.16
4,Emiliano Martínez,280,0,4,0,4.77
2,Weverson,280,1,3.08,1,3.17
5,Diego Gonçalves,263,9,7.91,2.42,4.73
4,Andrey,294,6,17.2,9.77,13.98
4,Juninho,263,0,1,0,1.21
5,Leandrinho,280,0,4,0,4.77
6,Gustavo Morínigo,294,14,11.36,4.69,5.62
5,Alerrandro,280,10,5.6,3.33,5.6
3,Realpe,280,4,2.95,1.33,1.76
5,Welliton,280,2,1.24,-0.2,0.98
1,Alex Muralha,294,11,6.74,3.35,1.33
4,Val,294,8,3.94,2.47,3.29
2,Luan Cândido,280,10,8.95,6.58,4.24
5,Helinho,280,12,4.07,1.1,0.93
1,Júlio César,280,0,5,0,5.96
3,Guillermo Santos,294,5,5.25,3.2,1.84
3,Haydar,280,0,3,0,3.59
3,Léo Pereira,262,5,3.85,2.6,5.21
4,Régis,294,7,3.15,0.53,0.49
4,Jadsom Silva,280,10,3.97,1.34,1.16
5,Bruno Tubarão,280,8,4.02,1.76,0.45
4,Matheus Sales,290,12,3.16,1.09,1.17
2,Andrés Hurtado,280,7,3.77,2.03,1.23
5,Igor Paixão,294,12,14.4,6.84,3.76
4,Miguel,280,6,6.08,2.75,1.28
4,Eric Ramires,280,11,3.64,1.04,-0.84
5,Alef Manga,294,13,9.58,3.92,5.76
4,Thonny Anderson,294,8,2.53,1.44,1.32
5,William Alves,294,0,1,0,1.21
1,João Carlos,1371,1,3.36,2,2.84
4,Everton,1371,7,8.68,2.69,3.57
2,Matheus Alexandre,294,10,8.28,4.91,1.63
2,Uendel,1371,12,4.08,1.58,1.07
4,Rodriguinho,1371,14,6.29,2.08,2.56
1,Walter,1371,13,12.03,4.33,2.36
2,Natanael,294,4,5.04,3.52,8.36
5,Elton,1371,8,4.23,1.91,2.12
3,Paulão,1371,7,4.48,1.44,0.62
2,Guilherme Biro,294,9,2.85,1.77,0.61
3,Marcio Silva,294,1,2.74,5.8,4.29
5,Alesson,1371,8,4.28,2.82,0.21
5,Pedro,262,12,9.89,3.72,11.25
5,Jan Hurtado,280,8,3.31,1.22,0.59
4,Pablo García,294,1,2.2,0,1.38
5,André,1371,9,3.77,2.62,2.01
4,Thiago Maia,262,10,4.65,1.47,2.95
3,Marllon,1371,13,7.26,3.26,3.8
4,Pepê,1371,10,6.19,3.33,4.25
5,Jenison,1371,7,3.55,1.44,-0.55
4,Marcão Silva,1371,10,2.48,1.01,0.86
5,Felipe Marques,1371,14,2.75,0.89,0.3
3,Alan Empereur,1371,9,4.31,1.38,-2.01
2,Igor Cariús,1371,3,5.04,1.73,3.74
4,Rafael Gava,1371,9,2.99,0.76,1.09
5,André Luís,1371,11,3.7,1.54,2.89
4,Valdívia,1371,12,7.16,3.36,8.55
3,Gabriel Noga,373,1,1.43,-0.2,0.23
1,Hugo Souza,262,9,4.04,1.94,1.79
5,Marquinhos,1371,6,5.82,3.67,6.9
1,Diego Alves,262,3,6.31,1,0.97
4,Camilo,1371,7,3.72,2.07,2.45
2,Ramon,280,4,2.74,1.37,1.77
4,Lázaro,262,12,3.8,1.26,1.57
2,Matheuzinho,262,10,6.49,3.89,0.64
4,Osorio,1371,4,2.09,2.3,1.56
4,Diego,262,7,3.04,0.88,0.43
1,Matheus Cunha,262,0,2,0,2.4
4,Gomes,262,10,10.75,4.59,3.5
4,Everton Ribeiro,262,14,8.97,4.36,5.36
3,Juan Ojeda,1371,0,3,0,3.59
3,Rodrigo Caio,262,7,5.75,2.03,1.06
5,Fred,266,5,5.26,2,6.69
4,Matheus França,262,1,1.76,-0.7,1.73
3,David Luiz,262,9,4.47,1.16,0.63
2,Rodinei,262,3,5.64,4.93,9.92
3,Cleiton,262,0,2,0,2.4
3,Felipe Melo,266,6,6.81,1.78,4.6
3,Matheus Ferraz,266,0,3,0,3.59
5,Vitinho,262,6,4.78,1.07,0.67
3,Gustavo Henrique,262,3,4.41,2.33,0.92
4,Wellington,266,10,2.93,0.77,0.69
3,Everson,290,0,3,0,3.59
2,Victor Luis,354,9,5.15,2.11,1.46
4,Fernando Sobral,354,7,6.15,1.93,1.67
3,David Braz,266,8,5.2,1.53,0.82
3,Reynaldo,290,12,4.03,1.93,1.52
4,Ganso,266,12,6.17,2.58,1.35
3,Luccas Claro,266,7,5.16,1.48,3.11
5,Iury Castilho,354,7,2.74,2.67,4.09
5,Zé Roberto,354,8,4.28,1.46,1.11
4,Richardson,354,11,3.02,2.12,0.03
1,João Ricardo,354,12,5.28,3.55,0.82
3,Manoel,266,11,9.03,5.26,10.22
4,Richard Coelho,354,11,4.63,2.2,0.4
1,Muriel,266,0,4,0,4.77
5,Gustavo Mosquito,264,5,3.96,1.76,6.8
3,Henrique,294,12,5.07,1.81,1.43
4,Yago Felipe,266,10,5.71,1.55,2.93
4,Adson,264,11,7.45,4.35,0.54
2,Pineida,266,5,4.53,2.64,4.35
4,Nathan,266,6,4.22,1.65,1.03
4,Robinho,294,10,3.02,0.66,0.77
2,Marlon,266,3,3.53,1.93,5.01
2,Cris Silva,266,5,9.46,4.88,4.17
1,Richard,354,0,5,0,5.96
4,Willian Farias,294,11,8.07,3.69,4.96
4,Wescley,354,2,3.48,2.65,2.77
3,Luiz Otávio,354,7,3.33,3.4,1.47
4,Gabriel Menino,275,7,5.57,4.2,0
3,David Duarte,266,1,2.73,-0.3,2.34
2,Renê,285,9,6.91,4.31,3.08
4,Nonato,266,9,7.5,2.74,8.63
4,Marlon,286,3,2.68,-0.4,1.02
4,Diego,290,12,6.25,3.21,2.18
2,Buiú,354,0,2,0,2.4
4,Caio,290,11,3.09,1.7,1.23
5,Caio Paulista,266,13,4.14,2.13,1.38
5,Pedro Raul,290,13,9.59,5.66,4.47
5,John Kennedy,266,5,2.42,0.42,-0.78
3,Messias,354,11,4.2,2.46,0.93
4,Miguel Figueira,290,0,4,0,4.77
1,Guilherme,264,0,2,0,2.4
2,Marcos Rocha,275,9,10.95,7.18,11.36
1,Marcelo Boeck,356,9,3.45,2.11,0.46
3,Caetano,290,11,5.26,2.9,3.09
4,Du Queiroz,264,13,5.79,3.25,2.36
4,André,266,12,7.43,3.69,5.23
5,Jael,354,0,6,0,7.15
2,Mayke,275,8,4.67,1.82,2.06
1,Marcelo Lomba,275,2,8.61,9.75,9.59
4,Martinelli,266,5,4.37,1.14,3.81
2,Jorge,275,7,3.46,3.93,3.14
4,Lima,354,9,10.69,5.37,9.34
3,Robson Bambu,264,4,5.94,6.2,4.24
4,Daniel de Pauli,290,0,3,0,3.59
4,Maurício,285,11,4.13,1.79,0.56
5,Léo Gamalho,294,9,14.77,6.79,10.04
2,Mazetti,285,0,3,0,3.59
4,Xavier,264,3,1.8,-0.23,-0.11
4,Jailson,275,1,4.77,0,4.97
5,Matheus Cadorini,285,3,1.74,0.1,-1.61
5,Breno Lopes,275,8,3.46,1.02,1
5,Caio Vidal,285,4,2.7,1.9,4.7
5,Felipe Augusto,264,3,1.47,0.27,0.95
4,Henrique Lordelo,290,2,1.76,-0.05,0.72
1,Vinicius Silvestre,275,0,4,0,4.77
4,Johnny,285,5,3.39,2.9,1.88
5,Erick,354,12,2.9,1.55,0.85
2,Kelvyn,354,2,1.98,-0.05,0.74
5,Índio,290,0,2,0,2.4
3,Mercado,285,12,6.36,2.51,1.52
4,Atuesta ,275,11,1.99,0.34,1.54
4,Apodi,290,9,6.62,3.51,3.76
4,Calebe,282,6,3.1,1.93,4.67
2,Gabriel Ruggeri,290,0,2,0,2.4
4,Boschilia,285,3,4.91,2.3,5.28
2,Hugo,290,3,2.64,0.7,2.49
3,Rodrigo Moledo,285,6,6,3.45,3.28
4,Ruan,264,0,2,0,2.4
1,Keiller,285,1,1.31,1.5,1.31
5,Gustavo Maia,285,0,2,0,2.4
4,Auremir,290,8,2,1.03,2.92
2,Lucas Piton,264,12,14.7,6.22,3.02
3,Luciano Castán,294,13,5.73,2.36,1.37
1,Fernando Miguel,356,0,7,0,8.33
1,Matheus Donelli,264,2,2.53,0.5,1.75
4,Bruno Gomes,285,0,4,0,4.77
3,Gabriel Lacerda,354,11,3.74,1.76,1.41
1,Marcelo Rangel,290,0,4,0,4.77
4,Fellipe Bastos,290,14,3.82,1.78,2.52
5,Vinicius,290,7,4.69,2.27,3.47
2,Paulo Victor ,285,0,4,0,4.77
3,Kuscevic,275,2,6.49,9.1,9.61
4,Ronald,356,5,2.29,0.2,-1.46
1,Matheus Alves,290,0,1.13,-1,4.53
3,Titi,356,12,4.32,1.76,0.21
3,Raul Gustavo,264,12,8.12,4.97,4.03
2,Juninho Capixaba,356,12,5.57,3.6,0.89
